Price,Beds,Baths,Living Space,City,State,County,City Average Household Income,Latitude,Longitude,Crime Rate,percent_bike,percent_car,percent_carpool,percent_home,percent_publictr,percent_total,percent_walk,Population,num_priv_schools,Total Enroll,K Enroll,G1 Enroll,G2 Enroll,G3 Enroll,G4 Enroll,G5 Enroll,G6 Enroll,G7 Enroll,G8 Enroll,G9 Enroll,G10 Enroll,G11 Enroll,G12 Enroll
399900.0,4,2,1213,Los Angeles,California,Los Angeles,121055.0,33.94906,-118.24679,1.25,0.69975733773616,71.4286235521906,12.5760022025522,4.15624493919777,7.03665549731244,84.0093401340266,2.8935024210707,10172951.0,842,"146,409","13,001","11,136","10,644","10,371","10,414","10,362","11,319","11,576","11,517","11,658","11,794","11,386","11,231"
789000.0,8,4,2485,Los Angeles,California,Los Angeles,121055.0,33.96409,-118.27368,1.25,0.69975733773616,71.4286235521906,12.5760022025522,4.15624493919777,7.03665549731244,84.0093401340266,2.8935024210707,10172951.0,842,"146,409","13,001","11,136","10,644","10,371","10,414","10,362","11,319","11,576","11,517","11,658","11,794","11,386","11,231"
550000.0,2,1,796,Los Angeles,California,Los Angeles,121055.0,33.96409,-118.27368,1.25,0.69975733773616,71.4286235521906,12.5760022025522,4.15624493919777,7.03665549731244,84.0093401340266,2.8935024210707,10172951.0,842,"146,409","13,001","11,136","10,644","10,371","10,414","10,362","11,319","11,576","11,517","11,658","11,794","11,386","11,231"
450000.0,2,1,1256,Los Angeles,California,Los Angeles,121055.0,33.96409,-118.27368,1.25,0.69975733773616,71.4286235521906,12.5760022025522,4.15624493919777,7.03665549731244,84.0093401340266,2.8935024210707,10172951.0,842,"146,409","13,001","11,136","10,644","10,371","10,414","10,362","11,319","11,576","11,517","11,658","11,794","11,386","11,231"
620000.0,3,2,1027,Los Angeles,California,Los Angeles,121055.0,33.96409,-118.27368,1.25,0.69975733773616,71.4286235521906,12.5760022025522,4.15624493919777,7.03665549731244,84.0093401340266,2.8935024210707,10172951.0,842,"146,409","13,001","11,136","10,644","10,371","10,414","10,362","11,319","11,576","11,517","11,658","11,794","11,386","11,231"
4995000.0,36,28,17947,Los Angeles,California,Los Angeles,121055.0,33.96409,-118.27368,1.25,0.69975733773616,71.4286235521906,12.5760022025522,4.15624493919777,7.03665549731244,84.0093401340266,2.8935024210707,10172951.0,842,"146,409","13,001","11,136","10,644","10,371","10,414","10,362","11,319","11,576","11,517","11,658","11,794","11,386","11,231"
529000.0,1,1,635,Los Angeles,California,Los Angeles,121055.0,34.07624,-118.31101,1.25,0.69975733773616,71.4286235521906,12.5760022025522,4.15624493919777,7.03665549731244,84.0093401340266,2.8935024210707,10172951.0,842,"146,409","13,001","11,136","10,644","10,371","10,414","10,362","11,319","11,576","11,517","11,658","11,794","11,386","11,231"
2250000.0,4,2,2044,Los Angeles,California,Los Angeles,121055.0,34.07624,-118.31101,1.25,0.69975733773616,71.4286235521906,12.5760022025522,4.15624493919777,7.03665549731244,84.0093401340266,2.8935024210707,10172951.0,842,"146,409","13,001","11,136","10,644","10,371","10,414","10,362","11,319","11,576","11,517","11,658","11,794","11,386","11,231"
1600000.0,3,3,2061,Los Angeles,California,Los Angeles,121055.0,34.07624,-118.31101,1.25,0.69975733773616,71.4286235521906,12.5760022025522,4.15624493919777,7.03665549731244,84.0093401340266,2.8935024210707,10172951.0,842,"146,409","13,001","11,136","10,644","10,371","10,414","10,362","11,319","11,576","11,517","11,658","11,794","11,386","11,231"
1487500.0,8,6,3866,Los Angeles,California,Los Angeles,121055.0,34.07624,-118.31101,1.25,0.69975733773616,71.4286235521906,12.5760022025522,4.15624493919777,7.03665549731244,84.0093401340266,2.8935024210707,10172951.0,842,"146,409","13,001","11,136","10,644","10,371","10,414","10,362","11,319","11,576","11,517","11,658","11,794","11,386","11,231"
1487500.0,8,6,3858,Los Angeles,California,Los Angeles,121055.0,34.07624,-118.31101,1.25,0.69975733773616,71.4286235521906,12.5760022025522,4.15624493919777,7.03665549731244,84.0093401340266,2.8935024210707,10172951.0,842,"146,409","13,001","11,136","10,644","10,371","10,414","10,362","11,319","11,576","11,517","11,658","11,794","11,386","11,231"
